id,family,jurisdiction,document,claim_id,claim_text,nature,novandino_correlate,correlate_status,literal_overlap,functional_overlap,difference_material,risk,evidence_required,source_url,source_file
NOV-C001,CN105540620 / US9005557 / WO2012099637,US,US9005557B2,Claim 1-A,Ajustar la salmuera a 4.5–6.9 wt% Li para precipitar una primera cantidad de Mg como bischofita.,Elemento limitante de ventana composicional y primer mecanismo de remoción,Novandino contempla una evaporación/preconcentración previa; no existe aún validación cerrada en expediente de una ventana 4.5–6.9 wt% Li ni de precipitación primaria específicamente como bischofita.,INFERIDO/FALTANTE,Media,Media,"La preconcentración parece coincidir funcionalmente, pero faltan composición y mineralogía de la primera fase sólida.",Medio,Solicitar composición exacta de corrientes previas al reactor y caracterización mineralógica del sólido primario.,https://patents.google.com/patent/US9005557,Claim charts profundos Tier1
NOV-C001,CN105540620 / US9005557 / WO2012099637,US,US9005557B2,Claim 1-B,Concentrar la salmuera agregando una cantidad suficiente de solución de KCl a la salmuera ajustada.,Elemento esencial,El expediente Novandino describe una etapa de reacción/cristalización con KCl tras una preconcentración.,CONFIRMADO,Alta,Alta,Coincidencia fuerte en la lógica reactiva: adición de KCl a salmuera concentrada.,Alto,"Verificar concentración, forma de dosificación y si el medio es “solución de KCl” o una estrategia de adición sustancialmente distinta.",https://patents.google.com/patent/US9005557,Claim charts profundos Tier1
NOV-C001,CN105540620 / US9005557 / WO2012099637,US,US9005557B2,Claim 1-C,La adición de KCl precipita una cantidad adicional de Mg como carnallita.,Elemento esencial,Novandino busca reducir Mg mediante reacción/cristalización con KCl y separación de Sales CK; el expediente aún no acredita de manera analítica que el sólido sea carnalita stricto sensu.,INFERIDO,Alta,Alta,"Riesgo material: si Sales CK contiene carnalita o fase equivalente, el solapamiento técnico se intensifica.",Alto,Urgente: XRD/SEM-EDS/ICP y balances de Mg/Li/K/Cl del sólido CK.,https://patents.google.com/patent/US9005557,Claim charts profundos Tier1
NOV-C001,CN105540620 / US9005557 / WO2012099637,US,US9005557B2,Claim 1-D,Concentrar más la salmuera para precipitar más Mg como carnalita adicional.,Elemento esencial,Novandino integra cristalización reactiva y luego separación sólida; además incorpora NF aguas abajo. La continuación exacta de precipitación adicional como carnalita no está cerrada documentalmente.,INFERIDO/FALTANTE,Media,Alta,"Hay indicio de continuación de la remoción de Mg por cristalización, pero falta demostrar si el mecanismo sigue siendo el mismo.",Alto,Cerrar balance por etapas y mineralogía de sólidos secundarios.,https://patents.google.com/patent/US9005557,Claim charts profundos Tier1
NOV-C001,CN105540620 / US9005557 / WO2012099637,US,US9005557B2,Claim 1-E,La salmuera de litio no contiene KCl como carnallita.,Elemento limitante negativo,No existe en el expediente una definición cerrada equivalente; faltan criterios analíticos de fase residual en licor madre.,FALTANTE,Baja,Media,No se puede medir la coincidencia sin especificación analítica del licor posterior.,Medio,Pedir especificación de composición/fases del licor madre después de la cristalización.,https://patents.google.com/patent/US9005557,Claim charts profundos Tier1
NOV-C001,CN105540620 / US9005557 / WO2012099637,US,US9005557B2,Claim 2,Mg/Li ajustado a 0.1–0.22 a al menos 5.7–6.9 wt% Li.,Elemento limitante cuantitativo,"Novandino reporta alta remoción de Mg y alta recuperación de Li, pero no tiene aún un cuadro maestro de composiciones de todas las corrientes con estos rangos exactos.",FALTANTE,Media,Media,Puede haber coincidencia funcional sin prueba de coincidencia cuantitativa.,Medio,Necesario: cuadro de corrientes y rangos reales de Mg/Li y Li wt%.,https://patents.google.com/patent/US9005557,Claim charts profundos Tier1
NOV-C001,CN105540620 / US9005557 / WO2012099637,US,US9005557B2,Claim 3,Disminución del Mg/Li en al menos un estanque de evaporación.,Elemento específico de medio/equipo,"Novandino, según el expediente, usa evaporación + reactor/cristalizador DTB bajo vacío; no depende de evaporation ponds para la reacción crítica.",CONFIRMADO/INFERIDO,Baja,Baja,Diferencia material a favor de Novandino si la remoción crítica ocurre en DTB/reactor y no en estanque.,Bajo,Mantener evidencia de DTB/reactor como nodo distintivo.,https://patents.google.com/patent/US9005557,Claim charts profundos Tier1
NOV-C001,CN105540620 / US9005557 / WO2012099637,US,US9005557B2,Claim 4,Disminución del Mg/Li en contenedor o tubería.,Elemento específico de medio/equipo,Novandino sí podría caer dentro de una noción amplia de contenedor/reactor si la reivindicación se interpretara funcionalmente.,INFERIDO,Media,Media,"Aunque no use pond, un claim que capture contenedor podría seguir siendo sensible.",Medio,Requiere claim construction y lectura de expediente/prosecution para ver cuán amplia es la noción de “container or pipe”.,https://patents.google.com/patent/US9005557,Claim charts profundos Tier1
NOV-C001,CN105540620 / US9005557 / WO2012099637,US,US9005557B2,Claim 5,Parte del Li puede precipitar como lithium carnallite.,Elemento dependiente,No está documentado en Novandino que el litio precipite como lithium carnallite ni que ese sea un objetivo del proceso.,FALTANTE,Baja,Baja,"Diferencia útil, salvo que la caracterización de sólidos muestre lo contrario.",Bajo,Confirmar mineralogía del sólido con foco en posibles fases de litio.,https://patents.google.com/patent/US9005557,Claim charts profundos Tier1
NOV-C001,CN105540620 / US9005557 / WO2012099637,US,US9005557B2,Claim 6,Remoción adicional de Mg como carbonato o hidróxido.,Elemento dependiente downstream,No aparece como etapa esencial confirmada en el flowsheet Novandino actualmente revisado.,FALTANTE,Baja,Baja,"Si Novandino no usa esta química, el dependiente se aleja.",Bajo,Verificar si existe alguna limpieza química posterior no reportada en los diagramas base.,https://patents.google.com/patent/US9005557,Claim charts profundos Tier1
NOV-C001,CN105540620 / US9005557 / WO2012099637,US,US9988280B2,Claim 1-A,Ruta de preparación directa de carbonato de litio de alta pureza a partir de salmuera con ~6 wt% Li.,Elemento troncal del divisional,"Novandino, en el alcance hoy revisado, no está definido como una ruta de producción directa de Li2CO3 de alta pureza; el foco actual es remoción Mg/Li, NF y recuperación hídrica.",CONFIRMADO (diferencia),Baja,Baja,Diferencia material relevante: el objeto final del divisional es distinto.,Bajo,Mantener el alcance FTO acotado al proceso actual y no extenderlo prematuramente a carbonato grado batería.,https://patents.google.com/patent/US20160167976A1/en,Claim charts profundos Tier1
NOV-C001,CN105540620 / US9005557 / WO2012099637,US,US9988280B2,Claim 1-B,"Adición de KCl para precipitar carnalita y luego extracción de B, remoción de Mg como carbonato, adición de CaO y Na2CO3, precipitación y lavado de Li2CO3.",Secuencia integrada downstream,"Novandino no tiene confirmadas estas etapas downstream (boron extraction, carbonate cleanup, CaO/Na2CO3, bicarbonate/carbonation route).",FALTANTE,Baja,Media,Sólo sería sensible si el proyecto expandiera su alcance a un tren químico similar.,Medio,Monitorear como familia adyacente; hoy no es el vector principal de bloqueo.,https://patents.google.com/patent/US20160167976A1/en,Claim charts profundos Tier1
NOV-C001,CN105540620 / US9005557 / WO2012099637,,"Conclusión operativa Albemarle: el claim 1 troncal US9005557 / CN102602965 sigue siendo el principal vector de sensibilidad, especialmente en los subelementos KCl-solution + Mg precipitation as carnallite. El uso de DTB, NF aguas abajo y recuperación hídrica no neutraliza por sí solo el riesgo del tronco reactivo si la química de Sales CK resulta congruente con carnalita.",,,,,,,,,No definido,,,Claim charts profundos Tier1
NOV-C002,US11219863 / CN109368670 / WO2020073611,US,US11219863B2,Claim 1-A,Al menos dos diluciones sobre aged brine.,Elemento esencial de pretreatment,Novandino no tiene confirmada una etapa de aged brine con doble dilución previa comparable; el flowsheet revisado parte de preconcentración y cristalización reactiva.,FALTANTE,Baja,Baja,Diferencia material que reduce solapamiento literal.,Bajo,Cerrar si existe alguna dilución operativa previa a NF o solo ajustes menores de proceso.,https://patents.google.com/patent/US20200306696A1/en,Claim charts profundos Tier1
NOV-C002,US11219863 / CN109368670 / WO2020073611,US,US11219863B2,Claim 1-B,Al menos dos filtraciones para obtener pretreated brine.,Elemento esencial de pretreatment,"Novandino sí prevé separación sólido-líquido luego de cristalización, pero no un pretreatment de doble filtración previo a NF sobre aged brine.",INFERIDO,Baja,Media,La mera existencia de filtración no equivale al pretreatment reivindicado.,Medio,Precisar si hay UF / multimedia filter u otras filtraciones previas a NF.,https://patents.google.com/patent/US20200306696A1/en,Claim charts profundos Tier1
NOV-C002,US11219863 / CN109368670 / WO2020073611,US,US11219863B2,Claim 1-C,Separación por nanofiltración para obtener permeado y concentrado.,Elemento esencial,Novandino sí incorpora NF aguas abajo de la cristalización.,CONFIRMADO,Alta,Alta,"Coincidencia fuerte en el módulo NF, aunque la posición del módulo en el flowsheet difiere.",Alto,"Definir tipo de membrana, staging y objetivo exacto de NF en Novandino.",https://patents.google.com/patent/US20200306696A1/en,Claim charts profundos Tier1
NOV-C002,US11219863 / CN109368670 / WO2020073611,US,US11219863B2,Claim 1-D,Primera concentración del permeado NF vía RO.,Elemento esencial,"No hay RO confirmada en Novandino; la concentración posterior parece descansarse en evaporación/condensados, no en RO.",CONFIRMADO (diferencia),Nula,Baja,Diferencia estructural importante que baja el riesgo literal.,Bajo,"Mantener claro en Ficha Maestra que la concentración posterior no se hace por RO, salvo cambio de ingeniería.",https://patents.google.com/patent/US20200306696A1/en,Claim charts profundos Tier1
NOV-C002,US11219863 / CN109368670 / WO2020073611,US,US11219863B2,Claim 1-E,Segunda concentración del concentrado RO vía ED para obtener solución enriquecida en Li.,Elemento esencial,No hay ED confirmada en Novandino.,CONFIRMADO (diferencia),Nula,Baja,Diferencia estructural decisiva frente al claim independiente.,Bajo,"Si en el futuro se incorpora ED, esta familia debe escalar inmediatamente.",https://patents.google.com/patent/US20200306696A1/en,Claim charts profundos Tier1
NOV-C002,US11219863 / CN109368670 / WO2020073611,US,US11219863B2,Claim 2,Primer dilution + multimedia filter + UF + second dilution.,Elemento dependiente de pretreatment,No está confirmado ese esquema en Novandino.,FALTANTE,Baja,Baja,Dependiente hoy poco cercano.,Bajo,Levantar P&ID/PFD del pretratamiento real de alimentación a NF.,https://patents.google.com/patent/US20200306696A1/en,Claim charts profundos Tier1
