id,family,anchor_publication,title,assignee,priority_date,estimated_expiry,jurisdictions,status,status_bucket,module,cluster,final_role,risk,risk_num,score_fto,patentability_value,patentability_score,followup_priority,followup_score,design_around_feasibility,action,primary_source,notes,sources
NOV-C001,CN105540620 / US9005557 / WO2012099637,US9005557,Production of high purity Li compounds directly from Li-containing brines,Albemarle (ex-Rockwood Lithium),2011-01-20,2032-10-28 (US adjusted),US / WO / EP (family context),Active grant present,Activo / concedido,M2 KCl/reacción; M3 cristalización; M8 flowsheet,A/B,Crítica – blocking risk,Alto,95,95,Medio,55,Crítica,95,Media,Mantener vigilancia US; profundizar memo design-around KCl/carnallita; verificar miembros nacionales reportados,https://patents.google.com/patent/US9005557/en,Familia más sensible del eje KCl-carnallita. Riesgo subsiste por grant US aunque PCT/EP no bloqueen autónomamente.,Dashboard FTO consolidado + Matriz Maestra + Claim Charts Tier1
NOV-C002,US11219863 / CN109368670 / WO2020073611,US11219863B2,Method for separation and enrichment of lithium,"Qinghai Institute of Salt Lakes, CAS",2018-10-10,2039-03-19 (US anticipated),US / CN / WO,Active grant present,Activo / concedido,M5 NF; M6 RO/ED downstream; M8 flowsheet,C/D,Crítica – blocking risk,Alto,92,92,Medio-alto,70,Crítica,92,Media-baja,Profundizar diferencias de feed y arquitectura NF/RO/ED; revisar claims dependientes US/CN,https://patents.google.com/patent/US11219863B2/en,Ruta NF/RO/ED desde aged brine. Relevancia alta por claims activos US y miembro CN de familia.,Dashboard FTO consolidado + Matriz Maestra + Claim Charts Tier1
NOV-C003,US11203542 / CN110603339 / WO2018208305,US11203542B2,Method for softening lithium brine using nanofiltration,BL Technologies / Veolia (ex-GE Water),2017-05-11,2037-08-12 (US adjusted),US / CN / WO / CL (family listing a verificar),Active grant present,Activo / concedido,M5 NF; pretratamiento sulfato; M8 flowsheet parcial,C,Crítica – blocking risk,Alto,84,84,Medio,60,Alta,84,Media,Verificar contraparte local y dependientes críticos; diferenciar uso/no uso de sulfato y doble NF,https://patents.google.com/patent/US11203542B2/en,NF multipaso con dosificación de sulfato. Riesgo centrado en claims de softening por NF más que en el flowsheet completo.,Dashboard FTO consolidado + Matriz Maestra + Claim Charts Tier1
NOV-C004,CN103074502,CN103074502B,Salt lake brine treatment for separating Li from high-Mg/Li-ratio brine,Minmetals Salt Lake + Qinghai ISL (CAS),2013-01-29,~2033,CN,Active grant present,Activo / concedido,M1 evaporación; M4 dilución; M5 NF; M6 RO; M7 agua,A/C/D,Crítica – blocking risk,Alto,80,80,Medio,58,Alta,80,Media-baja,Monitorear CN; documentar diferenciación de evaporación-NF-RO y reciclaje de agua,https://patents.google.com/patent/CN103074502B/en,"Estructuralmente cercana en eje evaporación→NF→RO, aunque con química distinta (bischofita vs carnallita).",Dashboard FTO consolidado + Matriz Maestra + Claim Charts Tier1
NOV-C020,CN114105173,,,,,,CN,,No definido,,,Monitor crítico / posible Tier 2 alto,Medio,68,68,Medio-alto,68,Alta,72,Media,Vigilar alcance integrado NF/RO/ED y recuperación multi-soluto,https://patents.google.com/patent/CN114105173B/en,,Dashboard FTO consolidado + Matriz Maestra + Claim Charts Tier1
NOV-C018,WO2021092013 / US12268992 / CN115591404,,,,,,US / CN / WO,,No definido,,,Monitor crítico / vigilancia amplia,Medio,66,66,Medio,63,Alta,70,Media,Monitorear prosecución y claims de NF+FO en salar brines; contrastar con arquitectura Novandino,https://patents.google.com/patent/US12268992/en,,Dashboard FTO consolidado + Matriz Maestra + Claim Charts Tier1
NOV-C009,CN114735726 / WO2023159899 / US20240262704,CN114735726B,CaCl2-type brine evaporating and Mg-removing process,Chinese entity,2022-xx-xx,~2042,CN / WO / US / CL (family context),Recent family with international footprint,No definido,M1 evaporación; M2 Mg-removal chemistry,A/D,Monitor crítico / prosecution,Medio,58,58,Medio-alto,65,Media-alta,66,Alta,Seguir prosecution US/CN y actividad territorial; útil para patentabilidad y vigilancia,https://patents.google.com/patent/CN114735726B/en,"Sube de prioridad por huella internacional reciente. No bloqueo directo aún, pero alta necesidad de monitoreo.",Dashboard FTO consolidado + Matriz Maestra + Claim Charts Tier1
NOV-C008,CN105540619,CN105540619B,Battery-grade Li2CO3 from high Mg/Li ratio brine,Qinghai Lithium Industry Co.,2015-08-17,~2035,CN,Granted CN (a verificar fino),Activo / concedido,M8 ruta integrada a producto,D,Monitor,Medio,55,55,Medio,54,Media,55,Media,Mantener como benchmark de ruta integrada hacia Li2CO3 desde alto Mg/Li,https://patents.google.com/patent/CN105540619B/en,Relevancia más ligada a ruta integrada a producto que al core KCl/NF actual.,Dashboard FTO consolidado + Matriz Maestra + Claim Charts Tier1
NOV-C006,DE102015000872,DE102015000872A1,Method for recovering lithium chloride from natural brines,K-UTEC AG Salt Technologies (probable),2015-01-23,~2035 si grant,DE,Published only / verify grant,Activo / concedido,M2 KCl; M3 evaporación al vacío; M8 flowsheet,A/B,Monitor + verify status,Medio,50,50,Medio,50,Media,52,Alta,Verificar vigencia real y familia equivalente; usar como contraste de sales mixtas / LiCl,https://patents.google.com/patent/DE102015000872A1/en,"Interesa por combinación KCl + vacío, pero alcance territorial y status son inciertos.",Dashboard FTO consolidado + Matriz Maestra + Claim Charts Tier1
NOV-C005,CN103572071,CN103572071B,Method for refining Li from high Mg/Li ratio salt lake brine,"Qinghai Institute of Salt Lakes, CAS",2013-11-15,~2033,CN,Granted CN (a verificar fino),Activo / concedido,M1 evaporación; M5 NF; M6 RO; remoción sulfato/boro,C/D,Monitor periférico,Bajo,42,42,Bajo-medio,45,Media-baja,46,Alta,Mantener en observación; baja prioridad salvo si el proceso converge a su ventana específica,https://patents.google.com/patent/CN103572071A/en,Secuencia integrada con remoción de sulfato y boro. Menor cercanía por upstream chemistry distinta.,Dashboard FTO consolidado + Matriz Maestra + Claim Charts Tier1
NOV-C012,US20240375972,US20240375972A1,Processes for recovering lithium from brines,Albemarle Corporation,2024-01-19,Pending,US,Pending,Pending / en trámite,M8 broad brine processing,A/C/D,Monitor prosecution,Bajo,40,40,Medio,48,Media,50,Alta,"Monitorear por potencial futuro, sin asignar bloqueo actual",https://patents.google.com/patent/US20240375972A1/en,"No bloqueará hasta grant, pero puede alterar landscape Albemarle y ensanchar riesgo futuro.",Dashboard FTO consolidado + Matriz Maestra + Claim Charts Tier1
